"pig"	"node"	"value"	"scale_lab"	"treatment"
"80"	"Succinivibrio(100):Otu00021"	0.0208326707165803	"proportion of total community"	"RPS"
"67"	"Prevotella_1(100):Otu00024"	0.00178111383225724	"proportion of total community"	"control"
"68"	"Prevotella_1(100):Otu00024"	0.00244903151935371	"proportion of total community"	"control"
"69"	"Prevotella_1(100):Otu00024"	0.00982793168156229	"proportion of total community"	"control"
"70"	"Prevotella_1(100):Otu00024"	0.00950987564008778	"proportion of total community"	"control"
"71"	"Prevotella_1(100):Otu00024"	0.00168569701981489	"proportion of total community"	"control"
"72"	"Prevotella_1(100):Otu00024"	0.000349861645621959	"proportion of total community"	"control"
"73"	"Prevotella_1(100):Otu00024"	0.00111319614516078	"proportion of total community"	"control"
"74"	"Prevotella_1(100):Otu00024"	0.00779237301612544	"proportion of total community"	"RPS"
"75"	"Prevotella_1(100):Otu00024"	0.000318056041474508	"proportion of total community"	"RPS"
"76"	"Prevotella_1(100):Otu00024"	0.000795140103686269	"proportion of total community"	"RPS"
"77"	"Prevotella_1(100):Otu00024"	0.00133583537419293	"proportion of total community"	"RPS"
"78"	"Prevotella_1(100):Otu00024"	0.00127222416589803	"proportion of total community"	"RPS"
"79"	"Prevotella_1(100):Otu00024"	0.000318056041474508	"proportion of total community"	"RPS"
"80"	"Prevotella_1(100):Otu00024"	0.0163798861359372	"proportion of total community"	"RPS"
"67"	"Prevotellaceae(100):Otu00025"	0.00104958493686588	"proportion of total community"	"control"
"68"	"Prevotellaceae(100):Otu00025"	0.00403931172672625	"proportion of total community"	"control"
"69"	"Prevotellaceae(100):Otu00025"	0.00712445532902898	"proportion of total community"	"control"
"70"	"Prevotellaceae(100):Otu00025"	0.00435736776820076	"proportion of total community"	"control"
"71"	"Prevotellaceae(100):Otu00025"	0.00521611908018193	"proportion of total community"	"control"
"72"	"Prevotellaceae(100):Otu00025"	0.0135809929709615	"proportion of total community"	"control"
"73"	"Prevotellaceae(100):Otu00025"	0.0209598931331701	"proportion of total community"	"control"
"74"	"Prevotellaceae(100):Otu00025"	0.0239496199230304	"proportion of total community"	"RPS"
"75"	"Prevotellaceae(100):Otu00025"	0.0121179351801787	"proportion of total community"	"RPS"
"76"	"Prevotellaceae(100):Otu00025"	0.0213415603829395	"proportion of total community"	"RPS"
"77"	"Prevotellaceae(100):Otu00025"	0.0137400209916987	"proportion of total community"	"RPS"
"78"	"Prevotellaceae(100):Otu00025"	0.0211507267580548	"proportion of total community"	"RPS"
"79"	"Prevotellaceae(100):Otu00025"	0.00741070576635603	"proportion of total community"	"RPS"
"80"	"Prevotellaceae(100):Otu00025"	0.00547056391336153	"proportion of total community"	"RPS"
"67"	"Prevotellaceae(100):Otu00026"	0.000349861645621959	"proportion of total community"	"control"
"68"	"Prevotellaceae(100):Otu00026"	0.00216278108202665	"proportion of total community"	"control"
"69"	"Prevotellaceae(100):Otu00026"	0.00114500174930823	"proportion of total community"	"control"
"70"	"Prevotellaceae(100):Otu00026"	0.00721987214147133	"proportion of total community"	"control"
"71"	"Prevotellaceae(100):Otu00026"	0.00540695270506663	"proportion of total community"	"control"
"72"	"Prevotellaceae(100):Otu00026"	0.0018765306446996	"proportion of total community"	"control"
"73"	"Prevotellaceae(100):Otu00026"	0.0137082153875513	"proportion of total community"	"control"
"74"	"Prevotellaceae(100):Otu00026"	0.00839667949492701	"proportion of total community"	"RPS"
"75"	"Prevotellaceae(100):Otu00026"	0.0140580770331732	"proportion of total community"	"RPS"
"76"	"Prevotellaceae(100):Otu00026"	0.0172386374479183	"proportion of total community"	"RPS"
"77"	"Prevotellaceae(100):Otu00026"	0.0114182118889348	"proportion of total community"	"RPS"
"78"	"Prevotellaceae(100):Otu00026"	0.026525873858974	"proportion of total community"	"RPS"
"79"	"Prevotellaceae(100):Otu00026"	0.0103050157437741	"proportion of total community"	"RPS"
"80"	"Prevotellaceae(100):Otu00026"	0.0117362679304093	"proportion of total community"	"RPS"
"67"	"Lactobacillaceae(100):Otu00051"	0.00725167774561878	"proportion of total community"	"control"
"68"	"Lactobacillaceae(100):Otu00051"	0.00378486689354664	"proportion of total community"	"control"
"69"	"Lactobacillaceae(100):Otu00051"	0.00229000349861646	"proportion of total community"	"control"
"70"	"Lactobacillaceae(100):Otu00051"	0.0159028020737254	"proportion of total community"	"control"
"71"	"Lactobacillaceae(100):Otu00051"	0.00362583887280939	"proportion of total community"	"control"
"72"	"Lactobacillaceae(100):Otu00051"	0.00324417162303998	"proportion of total community"	"control"
"73"	"Lactobacillaceae(100):Otu00051"	0.00477084062211762	"proportion of total community"	"control"
"74"	"Lactobacillaceae(100):Otu00051"	0.0125950192423905	"proportion of total community"	"RPS"
"75"	"Lactobacillaceae(100):Otu00051"	0.00111319614516078	"proportion of total community"	"RPS"
"76"	"Lactobacillaceae(100):Otu00051"	0.0205146146751058	"proportion of total community"	"RPS"
"77"	"Lactobacillaceae(100):Otu00051"	0.00174930822810979	"proportion of total community"	"RPS"
"78"	"Lactobacillaceae(100):Otu00051"	0.00976432047326739	"proportion of total community"	"RPS"
"79"	"Lactobacillaceae(100):Otu00051"	0.0158709964695779	"proportion of total community"	"RPS"
"80"	"Lactobacillaceae(100):Otu00051"	0.00375306128939919	"proportion of total community"	"RPS"
"67"	"Lachnoclostridium(100):Otu00059"	0.0062657040170478	"proportion of total community"	"control"
"68"	"Lachnoclostridium(100):Otu00059"	0.000922362520276073	"proportion of total community"	"control"
"69"	"Lachnoclostridium(100):Otu00059"	0.00130402977004548	"proportion of total community"	"control"
"70"	"Lachnoclostridium(100):Otu00059"	0.00155847460322509	"proportion of total community"	"control"
"71"	"Lachnoclostridium(100):Otu00059"	0.00181291943640469	"proportion of total community"	"control"
"72"	"Lachnoclostridium(100):Otu00059"	0.00438917337234821	"proportion of total community"	"control"
"73"	"Lachnoclostridium(100):Otu00059"	0.0018765306446996	"proportion of total community"	"control"
"74"	"Lachnoclostridium(100):Otu00059"	0.00368945008110429	"proportion of total community"	"RPS"
"75"	"Lachnoclostridium(100):Otu00059"	0.00254444833179606	"proportion of total community"	"RPS"
"76"	"Lachnoclostridium(100):Otu00059"	0.0381349193727935	"proportion of total community"	"RPS"
"77"	"Lachnoclostridium(100):Otu00059"	0.00671098247511211	"proportion of total community"	"RPS"
"78"	"Lachnoclostridium(100):Otu00059"	0.000222639229032155	"proportion of total community"	"RPS"
"79"	"Lachnoclostridium(100):Otu00059"	0.00104958493686588	"proportion of total community"	"RPS"
"80"	"Lachnoclostridium(100):Otu00059"	0.000318056041474508	"proportion of total community"	"RPS"
"67"	"Bacteroidales_unclassified(93):Otu00094"	0.000190833624884705	"proportion of total community"	"control"
"68"	"Bacteroidales_unclassified(93):Otu00094"	3.18056041474508e-05	"proportion of total community"	"control"
"69"	"Bacteroidales_unclassified(93):Otu00094"	0.000190833624884705	"proportion of total community"	"control"
"70"	"Bacteroidales_unclassified(93):Otu00094"	0	"proportion of total community"	"control"
"71"	"Bacteroidales_unclassified(93):Otu00094"	0.00591584237142585	"proportion of total community"	"control"
"72"	"Bacteroidales_unclassified(93):Otu00094"	6.36112082949016e-05	"proportion of total community"	"control"
"73"	"Bacteroidales_unclassified(93):Otu00094"	0	"proportion of total community"	"control"
"74"	"Bacteroidales_unclassified(93):Otu00094"	0.00041347285391686	"proportion of total community"	"RPS"
"75"	"Bacteroidales_unclassified(93):Otu00094"	0	"proportion of total community"	"RPS"
"76"	"Bacteroidales_unclassified(93):Otu00094"	0.00104958493686588	"proportion of total community"	"RPS"
"77"	"Bacteroidales_unclassified(93):Otu00094"	0.000477084062211762	"proportion of total community"	"RPS"
"78"	"Bacteroidales_unclassified(93):Otu00094"	6.36112082949016e-05	"proportion of total community"	"RPS"
"79"	"Bacteroidales_unclassified(93):Otu00094"	0.00531153589262428	"proportion of total community"	"RPS"
"80"	"Bacteroidales_unclassified(93):Otu00094"	0.00133583537419293	"proportion of total community"	"RPS"
"67"	"Megasphaera(100):Otu00101"	0	"proportion of total community"	"control"
"68"	"Megasphaera(100):Otu00101"	0	"proportion of total community"	"control"
"69"	"Megasphaera(100):Otu00101"	0	"proportion of total community"	"control"
"70"	"Megasphaera(100):Otu00101"	0	"proportion of total community"	"control"
"71"	"Megasphaera(100):Otu00101"	0	"proportion of total community"	"control"
"72"	"Megasphaera(100):Otu00101"	9.54168124423523e-05	"proportion of total community"	"control"
"73"	"Megasphaera(100):Otu00101"	6.36112082949016e-05	"proportion of total community"	"control"
"74"	"Megasphaera(100):Otu00101"	6.36112082949016e-05	"proportion of total community"	"RPS"
"75"	"Megasphaera(100):Otu00101"	0.000127222416589803	"proportion of total community"	"RPS"
"76"	"Megasphaera(100):Otu00101"	0.000254444833179606	"proportion of total community"	"RPS"
"77"	"Megasphaera(100):Otu00101"	0.000190833624884705	"proportion of total community"	"RPS"
"78"	"Megasphaera(100):Otu00101"	0.000127222416589803	"proportion of total community"	"RPS"
"79"	"Megasphaera(100):Otu00101"	0.000286250437327057	"proportion of total community"	"RPS"
"80"	"Megasphaera(100):Otu00101"	3.18056041474508e-05	"proportion of total community"	"RPS"
"67"	"Mucispirillum(100):Otu00156"	6.36112082949016e-05	"proportion of total community"	"control"
"68"	"Mucispirillum(100):Otu00156"	0.000445278458064311	"proportion of total community"	"control"
"69"	"Mucispirillum(100):Otu00156"	0.00941445882764543	"proportion of total community"	"control"
"70"	"Mucispirillum(100):Otu00156"	0.000381667249769409	"proportion of total community"	"control"
"71"	"Mucispirillum(100):Otu00156"	0.0224547565281003	"proportion of total community"	"control"
"72"	"Mucispirillum(100):Otu00156"	0.00683820489170192	"proportion of total community"	"control"
"73"	"Mucispirillum(100):Otu00156"	3.18056041474508e-05	"proportion of total community"	"control"
"74"	"Mucispirillum(100):Otu00156"	0	"proportion of total community"	"RPS"
"75"	"Mucispirillum(100):Otu00156"	0	"proportion of total community"	"RPS"
"76"	"Mucispirillum(100):Otu00156"	3.18056041474508e-05	"proportion of total community"	"RPS"
"77"	"Mucispirillum(100):Otu00156"	3.18056041474508e-05	"proportion of total community"	"RPS"
"78"	"Mucispirillum(100):Otu00156"	0	"proportion of total community"	"RPS"
"79"	"Mucispirillum(100):Otu00156"	3.18056041474508e-05	"proportion of total community"	"RPS"
"80"	"Mucispirillum(100):Otu00156"	0	"proportion of total community"	"RPS"
"67"	"Ruminococcaceae(100):Otu00230"	0	"proportion of total community"	"control"
"68"	"Ruminococcaceae(100):Otu00230"	0	"proportion of total community"	"control"
"69"	"Ruminococcaceae(100):Otu00230"	0	"proportion of total community"	"control"
"70"	"Ruminococcaceae(100):Otu00230"	0.000254444833179606	"proportion of total community"	"control"
"71"	"Ruminococcaceae(100):Otu00230"	6.36112082949016e-05	"proportion of total community"	"control"
"72"	"Ruminococcaceae(100):Otu00230"	0	"proportion of total community"	"control"
"73"	"Ruminococcaceae(100):Otu00230"	0.000604306478801565	"proportion of total community"	"control"
"74"	"Ruminococcaceae(100):Otu00230"	0.00159028020737254	"proportion of total community"	"RPS"
"75"	"Ruminococcaceae(100):Otu00230"	0.000540695270506663	"proportion of total community"	"RPS"
"76"	"Ruminococcaceae(100):Otu00230"	0.00174930822810979	"proportion of total community"	"RPS"
"77"	"Ruminococcaceae(100):Otu00230"	0.000127222416589803	"proportion of total community"	"RPS"
"78"	"Ruminococcaceae(100):Otu00230"	0.000381667249769409	"proportion of total community"	"RPS"
"79"	"Ruminococcaceae(100):Otu00230"	6.36112082949016e-05	"proportion of total community"	"RPS"
"80"	"Ruminococcaceae(100):Otu00230"	0.00139944658248783	"proportion of total community"	"RPS"
"67"	"Clostridiales_unclassified(100):Otu00256"	9.54168124423523e-05	"proportion of total community"	"control"
"68"	"Clostridiales_unclassified(100):Otu00256"	0.00041347285391686	"proportion of total community"	"control"
"69"	"Clostridiales_unclassified(100):Otu00256"	0.000858751311981171	"proportion of total community"	"control"
"70"	"Clostridiales_unclassified(100):Otu00256"	0.000604306478801565	"proportion of total community"	"control"
"71"	"Clostridiales_unclassified(100):Otu00256"	9.54168124423523e-05	"proportion of total community"	"control"
"72"	"Clostridiales_unclassified(100):Otu00256"	0.00041347285391686	"proportion of total community"	"control"
"73"	"Clostridiales_unclassified(100):Otu00256"	0.000922362520276073	"proportion of total community"	"control"
"74"	"Clostridiales_unclassified(100):Otu00256"	6.36112082949016e-05	"proportion of total community"	"RPS"
"75"	"Clostridiales_unclassified(100):Otu00256"	0	"proportion of total community"	"RPS"
"76"	"Clostridiales_unclassified(100):Otu00256"	0.000190833624884705	"proportion of total community"	"RPS"
"77"	"Clostridiales_unclassified(100):Otu00256"	0.000254444833179606	"proportion of total community"	"RPS"
"78"	"Clostridiales_unclassified(100):Otu00256"	9.54168124423523e-05	"proportion of total community"	"RPS"
"79"	"Clostridiales_unclassified(100):Otu00256"	0	"proportion of total community"	"RPS"
"80"	"Clostridiales_unclassified(100):Otu00256"	0.000190833624884705	"proportion of total community"	"RPS"
"67"	"Sharpea(100):Otu00285"	0	"proportion of total community"	"control"
"68"	"Sharpea(100):Otu00285"	0.000127222416589803	"proportion of total community"	"control"
"69"	"Sharpea(100):Otu00285"	0	"proportion of total community"	"control"
"70"	"Sharpea(100):Otu00285"	0	"proportion of total community"	"control"
"71"	"Sharpea(100):Otu00285"	0	"proportion of total community"	"control"
"72"	"Sharpea(100):Otu00285"	0.000127222416589803	"proportion of total community"	"control"
"73"	"Sharpea(100):Otu00285"	0	"proportion of total community"	"control"
"74"	"Sharpea(100):Otu00285"	0.000318056041474508	"proportion of total community"	"RPS"
"75"	"Sharpea(100):Otu00285"	0	"proportion of total community"	"RPS"
"76"	"Sharpea(100):Otu00285"	0.00082694570783372	"proportion of total community"	"RPS"
"77"	"Sharpea(100):Otu00285"	0	"proportion of total community"	"RPS"
"78"	"Sharpea(100):Otu00285"	0.000254444833179606	"proportion of total community"	"RPS"
"79"	"Sharpea(100):Otu00285"	0.000890556916128622	"proportion of total community"	"RPS"
"80"	"Sharpea(100):Otu00285"	3.18056041474508e-05	"proportion of total community"	"RPS"
"67"	"Family_XIII(100):Otu00306"	0	"proportion of total community"	"control"
"68"	"Family_XIII(100):Otu00306"	0	"proportion of total community"	"control"
"69"	"Family_XIII(100):Otu00306"	0	"proportion of total community"	"control"
"70"	"Family_XIII(100):Otu00306"	0	"proportion of total community"	"control"
"71"	"Family_XIII(100):Otu00306"	6.36112082949016e-05	"proportion of total community"	"control"
"72"	"Family_XIII(100):Otu00306"	0	"proportion of total community"	"control"
"73"	"Family_XIII(100):Otu00306"	9.54168124423523e-05	"proportion of total community"	"control"
"74"	"Family_XIII(100):Otu00306"	6.36112082949016e-05	"proportion of total community"	"RPS"
"75"	"Family_XIII(100):Otu00306"	0	"proportion of total community"	"RPS"
"76"	"Family_XIII(100):Otu00306"	0.000286250437327057	"proportion of total community"	"RPS"
"77"	"Family_XIII(100):Otu00306"	3.18056041474508e-05	"proportion of total community"	"RPS"
"78"	"Family_XIII(100):Otu00306"	6.36112082949016e-05	"proportion of total community"	"RPS"
"79"	"Family_XIII(100):Otu00306"	0.000318056041474508	"proportion of total community"	"RPS"
"80"	"Family_XIII(100):Otu00306"	0.000254444833179606	"proportion of total community"	"RPS"
"67"	"Prevotellaceae(100):Otu00309"	9.54168124423523e-05	"proportion of total community"	"control"
"68"	"Prevotellaceae(100):Otu00309"	0.000222639229032155	"proportion of total community"	"control"
"69"	"Prevotellaceae(100):Otu00309"	0	"proportion of total community"	"control"
"70"	"Prevotellaceae(100):Otu00309"	0.000127222416589803	"proportion of total community"	"control"
"71"	"Prevotellaceae(100):Otu00309"	3.18056041474508e-05	"proportion of total community"	"control"
"72"	"Prevotellaceae(100):Otu00309"	0	"proportion of total community"	"control"
"73"	"Prevotellaceae(100):Otu00309"	0.000159028020737254	"proportion of total community"	"control"
"74"	"Prevotellaceae(100):Otu00309"	0.000572500874654114	"proportion of total community"	"RPS"
"75"	"Prevotellaceae(100):Otu00309"	0.000349861645621959	"proportion of total community"	"RPS"
"76"	"Prevotellaceae(100):Otu00309"	0.000508889666359212	"proportion of total community"	"RPS"
"77"	"Prevotellaceae(100):Otu00309"	0.000159028020737254	"proportion of total community"	"RPS"
"78"	"Prevotellaceae(100):Otu00309"	0	"proportion of total community"	"RPS"
"79"	"Prevotellaceae(100):Otu00309"	0.000127222416589803	"proportion of total community"	"RPS"
"80"	"Prevotellaceae(100):Otu00309"	3.18056041474508e-05	"proportion of total community"	"RPS"
"67"	"Proteobacteria_unclassified(99):Otu00319"	0.000540695270506663	"proportion of total community"	"control"
"68"	"Proteobacteria_unclassified(99):Otu00319"	0	"proportion of total community"	"control"
"69"	"Proteobacteria_unclassified(99):Otu00319"	0.000254444833179606	"proportion of total community"	"control"
"70"	"Proteobacteria_unclassified(99):Otu00319"	6.36112082949016e-05	"proportion of total community"	"control"
"71"	"Proteobacteria_unclassified(99):Otu00319"	0.00114500174930823	"proportion of total community"	"control"
"72"	"Proteobacteria_unclassified(99):Otu00319"	0	"proportion of total community"	"control"
"73"	"Proteobacteria_unclassified(99):Otu00319"	0.000286250437327057	"proportion of total community"	"control"
"74"	"Proteobacteria_unclassified(99):Otu00319"	0	"proportion of total community"	"RPS"
"75"	"Proteobacteria_unclassified(99):Otu00319"	0	"proportion of total community"	"RPS"
"76"	"Proteobacteria_unclassified(99):Otu00319"	0	"proportion of total community"	"RPS"
"77"	"Proteobacteria_unclassified(99):Otu00319"	0.000254444833179606	"proportion of total community"	"RPS"
"78"	"Proteobacteria_unclassified(99):Otu00319"	0.000190833624884705	"proportion of total community"	"RPS"
"79"	"Proteobacteria_unclassified(99):Otu00319"	0.000127222416589803	"proportion of total community"	"RPS"
"80"	"Proteobacteria_unclassified(99):Otu00319"	0.00496167424700232	"proportion of total community"	"RPS"
"67"	"Burkholderiales_unclassified(100):Otu00397"	6.36112082949016e-05	"proportion of total community"	"control"
"68"	"Burkholderiales_unclassified(100):Otu00397"	0	"proportion of total community"	"control"
"69"	"Burkholderiales_unclassified(100):Otu00397"	0	"proportion of total community"	"control"
"70"	"Burkholderiales_unclassified(100):Otu00397"	9.54168124423523e-05	"proportion of total community"	"control"
"71"	"Burkholderiales_unclassified(100):Otu00397"	9.54168124423523e-05	"proportion of total community"	"control"
"72"	"Burkholderiales_unclassified(100):Otu00397"	0	"proportion of total community"	"control"
"73"	"Burkholderiales_unclassified(100):Otu00397"	0.000159028020737254	"proportion of total community"	"control"
"74"	"Burkholderiales_unclassified(100):Otu00397"	0.000286250437327057	"proportion of total community"	"RPS"
"75"	"Burkholderiales_unclassified(100):Otu00397"	0	"proportion of total community"	"RPS"
"76"	"Burkholderiales_unclassified(100):Otu00397"	0.000858751311981171	"proportion of total community"	"RPS"
"77"	"Burkholderiales_unclassified(100):Otu00397"	9.54168124423523e-05	"proportion of total community"	"RPS"
"78"	"Burkholderiales_unclassified(100):Otu00397"	0.000477084062211762	"proportion of total community"	"RPS"
"79"	"Burkholderiales_unclassified(100):Otu00397"	0.000699723291243917	"proportion of total community"	"RPS"
"80"	"Burkholderiales_unclassified(100):Otu00397"	0.000127222416589803	"proportion of total community"	"RPS"
"67"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00136005440217609	"proportion of live single cells"	"control"
"68"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.000939534259445675	"proportion of live single cells"	"control"
"69"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00802939888947769	"proportion of live single cells"	"control"
"70"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00497614378128385	"proportion of live single cells"	"control"
"71"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00742125538182642	"proportion of live single cells"	"control"
"72"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00310640835401961	"proportion of live single cells"	"control"
"73"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.0037107463954068	"proportion of live single cells"	"control"
"74"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00150694870793102	"proportion of live single cells"	"RPS"
"75"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00193550743161816	"proportion of live single cells"	"RPS"
"76"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00136174848505481	"proportion of live single cells"	"RPS"
"77"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00272368795479491	"proportion of live single cells"	"RPS"
"78"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00315328467153285	"proportion of live single cells"	"RPS"
"79"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00338940497112729	"proportion of live single cells"	"RPS"
"80"	"CD3-/CD4-/CD8a+/FoxP3-/CD25+"	0.00666494978109709	"proportion of live single cells"	"RPS"
"67"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.000200008000320013	"proportion of live single cells"	"control"
"68"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.000939534259445675	"proportion of live single cells"	"control"
"69"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.00588668986014792	"proportion of live single cells"	"control"
"70"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.00386382928899687	"proportion of live single cells"	"control"
"71"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.000566508044414231	"proportion of live single cells"	"control"
"72"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.0015532041770098	"proportion of live single cells"	"control"
"73"	"CD3-/CD4+/CD8a+/FoxP3-/CD25-"	0.00118153119057729	"proportion of live single cells"	"control"
